,count,mean,std,min,25%,50%,75%,max
Price_per_unit,1694.0,70.79739669421576,297.63296644319195,0.79,19.49,34.99,59.99,5999.9
Rating_count,1694.0,139.26151121605668,558.7579790215261,1.0,6.0,21.0,70.0,7302.0
1 star count,1694.0,3.3512396694214877,8.376055527517439,0.0,0.0,1.0,3.0,87.0
2 star count,1694.0,2.7992916174734357,8.463596314875941,0.0,0.0,1.0,2.0,107.0
3 star count,1694.0,8.064935064935066,35.48456947029149,0.0,0.0,1.0,4.0,488.0
4 star count,1694.0,25.091499409681226,100.48586873521324,0.0,1.0,3.0,13.0,1349.0
5 star count,1694.0,99.95454545454545,412.08978134784695,0.0,4.0,13.0,45.0,5290.0
Review_sentiment,1694.0,0.2959886334660787,0.16781662218986954,-0.375,0.22191490340725029,0.3243766421682717,0.3961018155669637,1.0
Review_title_sentiment,1694.0,0.38801096136722657,0.2252721941824641,-0.6999999999999998,0.29900919796798026,0.4333215162344626,0.5148015873015873,1.0
Negative_sentiment_count,1694.0,2.7355371900826446,5.758043279674647,0.0,0.0,1.0,3.0,87.0
Positive_sentiment_count,1694.0,34.188311688311686,63.37335776217633,0.0,2.0,9.0,32.0,441.0
pros_count,1694.0,19.840023612750887,37.774407672579216,0.0,0.0,6.0,20.75,332.0
cons_count,1694.0,0.16351829988193625,1.094934217070694,0.0,0.0,0.0,0.0,19.0
